canonical_material_id,material_name,material_aliases,NIST_isotherm_id,DOI,measurement_type,temperature_K,pressure_bar,pressure_units,relative_humidity_percent,uptake,uptake_units,uptake_kg_per_kg,adsorption_or_desorption_branch,activation_conditions,source_quality_flags
NIST-MATDB-5ab0dbe0639729711750ef4b97715f0f,UiO-66,,10.1021acs.inorgchem.5b00435.Isotherm40,10.1021/acs.inorgchem.5b00435,experimental,273.0,0.003845,bar,66.97,281.22,cm3(STP)/g,0.22603,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-5ab0dbe0639729711750ef4b97715f0f,UiO-66,,10.1021acs.inorgchem.5b00435.Isotherm40,10.1021/acs.inorgchem.5b00435,experimental,273.0,0.003912,bar,68.13,283.89,cm3(STP)/g,0.22817,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-5ab0dbe0639729711750ef4b97715f0f,UiO-66,,10.1021acs.inorgchem.5b00435.Isotherm40,10.1021/acs.inorgchem.5b00435,experimental,273.0,0.003972,bar,69.18,285.15,cm3(STP)/g,0.22919,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-5ab0dbe0639729711750ef4b97715f0f,UiO-66,,10.1021acs.inorgchem.5b00435.Isotherm40,10.1021/acs.inorgchem.5b00435,experimental,273.0,0.004015,bar,69.93,285.56,cm3(STP)/g,0.22952,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-5ab0dbe0639729711750ef4b97715f0f,UiO-66,,10.1021acs.inorgchem.5b00435.Isotherm40,10.1021/acs.inorgchem.5b00435,experimental,273.0,0.004118,bar,71.72,286.82,cm3(STP)/g,0.23053,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-5ab0dbe0639729711750ef4b97715f0f,UiO-66,,10.1021acs.inorgchem.5b00435.Isotherm40,10.1021/acs.inorgchem.5b00435,experimental,273.0,0.004174,bar,72.7,289.57,cm3(STP)/g,0.23274,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-5ab0dbe0639729711750ef4b97715f0f,UiO-66,,10.1021acs.inorgchem.5b00435.Isotherm40,10.1021/acs.inorgchem.5b00435,experimental,273.0,0.004229,bar,73.66,291.82,cm3(STP)/g,0.23455,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-5ab0dbe0639729711750ef4b97715f0f,UiO-66,,10.1021acs.inorgchem.5b00435.Isotherm40,10.1021/acs.inorgchem.5b00435,experimental,273.0,0.004287,bar,74.67,293.07,cm3(STP)/g,0.23555,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-5ab0dbe0639729711750ef4b97715f0f,UiO-66,,10.1021acs.inorgchem.5b00435.Isotherm40,10.1021/acs.inorgchem.5b00435,experimental,273.0,0.004339,bar,75.57,292.82,cm3(STP)/g,0.23535,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-5ab0dbe0639729711750ef4b97715f0f,UiO-66,,10.1021acs.inorgchem.5b00435.Isotherm40,10.1021/acs.inorgchem.5b00435,experimental,273.0,0.004411,bar,76.83,295.99,cm3(STP)/g,0.2379,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-5ab0dbe0639729711750ef4b97715f0f,UiO-66,,10.1021acs.inorgchem.5b00435.Isotherm40,10.1021/acs.inorgchem.5b00435,experimental,273.0,0.004478,bar,77.99,296.5,cm3(STP)/g,0.23831,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-5ab0dbe0639729711750ef4b97715f0f,UiO-66,,10.1021acs.inorgchem.5b00435.Isotherm40,10.1021/acs.inorgchem.5b00435,experimental,273.0,0.004544,bar,79.14,298.83,cm3(STP)/g,0.24018,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-5ab0dbe0639729711750ef4b97715f0f,UiO-66,,10.1021acs.inorgchem.5b00435.Isotherm40,10.1021/acs.inorgchem.5b00435,experimental,273.0,0.004593,bar,80.0,300.67,cm3(STP)/g,0.24166,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-5ab0dbe0639729711750ef4b97715f0f,UiO-66,,10.1021acs.inorgchem.5b00435.Isotherm40,10.1021/acs.inorgchem.5b00435,experimental,273.0,0.004649,bar,80.97,302.17,cm3(STP)/g,0.24287,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-5ab0dbe0639729711750ef4b97715f0f,UiO-66,,10.1021acs.inorgchem.5b00435.Isotherm40,10.1021/acs.inorgchem.5b00435,experimental,273.0,0.004752,bar,82.76,305.59,cm3(STP)/g,0.24561,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-5ab0dbe0639729711750ef4b97715f0f,UiO-66,,10.1021acs.inorgchem.5b00435.Isotherm40,10.1021/acs.inorgchem.5b00435,experimental,273.0,0.004817,bar,83.9,307.09,cm3(STP)/g,0.24682,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-5ab0dbe0639729711750ef4b97715f0f,UiO-66,,10.1021acs.inorgchem.5b00435.Isotherm40,10.1021/acs.inorgchem.5b00435,experimental,273.0,0.004871,bar,84.84,308.93,cm3(STP)/g,0.2483,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-5ab0dbe0639729711750ef4b97715f0f,UiO-66,,10.1021acs.inorgchem.5b00435.Isotherm40,10.1021/acs.inorgchem.5b00435,experimental,273.0,0.004927,bar,85.81,311.27,cm3(STP)/g,0.25018,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-5ab0dbe0639729711750ef4b97715f0f,UiO-66,,10.1021acs.inorgchem.5b00435.Isotherm40,10.1021/acs.inorgchem.5b00435,experimental,273.0,0.004984,bar,86.81,314.19,cm3(STP)/g,0.25253,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-5ab0dbe0639729711750ef4b97715f0f,UiO-66,,10.1021acs.inorgchem.5b00435.Isotherm40,10.1021/acs.inorgchem.5b00435,experimental,273.0,0.005053,bar,88.01,318.61,cm3(STP)/g,0.25608,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-5ab0dbe0639729711750ef4b97715f0f,UiO-66,,10.1021acs.inorgchem.5b00435.Isotherm40,10.1021/acs.inorgchem.5b00435,experimental,273.0,0.005105,bar,88.91,321.86,cm3(STP)/g,0.25869,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-5ab0dbe0639729711750ef4b97715f0f,UiO-66,,10.1021acs.inorgchem.5b00435.Isotherm40,10.1021/acs.inorgchem.5b00435,experimental,273.0,0.00517,bar,90.04,325.03,cm3(STP)/g,0.26124,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-5ab0dbe0639729711750ef4b97715f0f,UiO-66,,10.1021acs.inorgchem.5b00435.Isotherm40,10.1021/acs.inorgchem.5b00435,experimental,273.0,0.005245,bar,91.35,329.46,cm3(STP)/g,0.2648,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-5ab0dbe0639729711750ef4b97715f0f,UiO-66,,10.1021acs.inorgchem.5b00435.Isotherm40,10.1021/acs.inorgchem.5b00435,experimental,273.0,0.005294,bar,92.2,335.05,cm3(STP)/g,0.26929,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-5ab0dbe0639729711750ef4b97715f0f,UiO-66,,10.1021acs.inorgchem.5b00435.Isotherm40,10.1021/acs.inorgchem.5b00435,experimental,273.0,0.005379,bar,93.69,340.39,cm3(STP)/g,0.27358,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-5ab0dbe0639729711750ef4b97715f0f,UiO-66,,10.1021acs.inorgchem.5b00435.Isotherm40,10.1021/acs.inorgchem.5b00435,experimental,273.0,0.005589,bar,97.34,347.15,cm3(STP)/g,0.27902,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-5ab0dbe0639729711750ef4b97715f0f,UiO-66,,10.1021acs.inorgchem.5b00435.Isotherm40,10.1021/acs.inorgchem.5b00435,experimental,273.0,0.005645,bar,98.32,355.58,cm3(STP)/g,0.28579,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-5ab0dbe0639729711750ef4b97715f0f,UiO-66,,10.1021acs.inorgchem.5b00435.Isotherm40,10.1021/acs.inorgchem.5b00435,experimental,273.0,0.005701,bar,99.29,364.84,cm3(STP)/g,0.29324,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-5ab0dbe0639729711750ef4b97715f0f,UiO-66,,10.1021acs.inorgchem.5b00435.Isotherm40,10.1021/acs.inorgchem.5b00435,experimental,273.0,0.001216,bar,21.18,131.02,cm3(STP)/g,0.10531,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-5ab0dbe0639729711750ef4b97715f0f,UiO-66,,10.1021acs.inorgchem.5b00435.Isotherm40,10.1021/acs.inorgchem.5b00435,experimental,273.0,0.001281,bar,22.31,143.28,cm3(STP)/g,0.11516,adsorption,,digitized_from_figure;branch_inferred_from_point_order
NIST-MATDB-5ab0dbe0639729711750ef4b97715f0f,UiO-66,,10.1021acs.inorgchem.5b00435.Isotherm40,10.1021/acs.inorgchem.5b00435,experimental,273.0,0.001348,bar,23.48,153.13,cm3(STP)/g,0.12308,adsorption,,digitized_from_figure;branch_inferred_from_point_order
